course_id,course_title,subject,difficulty
1,Course 1,Math,Beginner
2,Course 2,Math,Intermediate
3,Course 3,AI,Advanced
4,Course 4,Science,Intermediate
5,Course 5,Science,Intermediate
6,Course 6,AI,Beginner
7,Course 7,Science,Beginner
8,Course 8,Math,Intermediate
9,Course 9,Programming,Intermediate
10,Course 10,Math,Advanced
11,Course 11,Programming,Beginner
12,Course 12,Math,Intermediate
13,Course 13,Math,Beginner
14,Course 14,Programming,Beginner
15,Course 15,Math,Intermediate
16,Course 16,AI,Beginner
17,Course 17,Programming,Beginner
18,Course 18,Science,Beginner
19,Course 19,Math,Advanced
20,Course 20,Programming,Beginner
21,Course 21,Science,Beginner
22,Course 22,AI,Intermediate
23,Course 23,Science,Intermediate
24,Course 24,Programming,Advanced
25,Course 25,Math,Beginner
26,Course 26,Programming,Advanced
27,Course 27,Programming,Intermediate
28,Course 28,AI,Advanced
29,Course 29,Math,Beginner
30,Course 30,AI,Intermediate
31,Course 31,Programming,Advanced
32,Course 32,Programming,Advanced
33,Course 33,Science,Advanced
34,Course 34,Programming,Intermediate
35,Course 35,Programming,Advanced
36,Course 36,Programming,Advanced
37,Course 37,Math,Beginner
38,Course 38,Math,Beginner
39,Course 39,AI,Advanced
40,Course 40,Math,Intermediate
41,Course 41,Science,Beginner
42,Course 42,AI,Beginner
43,Course 43,Programming,Beginner
44,Course 44,AI,Beginner
45,Course 45,Science,Advanced
46,Course 46,Programming,Intermediate
47,Course 47,Science,Intermediate
48,Course 48,Math,Advanced
49,Course 49,Science,Advanced
50,Course 50,AI,Advanced
