student_id,course_id,rating,completion_rate,quiz_score
31,50,2,44,36
86,44,5,89,61
62,16,1,89,63
96,6,1,76,52
71,32,3,62,84
12,39,4,61,77
2,20,2,60,95
99,42,2,96,65
32,39,3,99,51
27,26,3,75,98
57,44,1,98,64
56,41,4,59,82
12,29,1,99,60
80,9,2,97,63
17,4,5,83,51
63,7,4,61,88
80,13,2,58,70
85,35,4,41,87
18,32,5,85,72
94,24,4,52,30
99,26,4,58,81
76,17,5,45,55
2,23,3,56,70
47,12,1,66,42
61,7,3,40,87
86,7,1,96,98
21,13,5,62,62
27,43,2,60,38
39,10,1,99,37
24,20,1,81,73
16,40,1,42,89
54,43,1,93,98
25,31,3,55,33
62,24,5,87,93
67,23,5,95,86
30,36,1,51,32
100,44,3,82,67
10,27,1,88,76
76,46,5,79,66
97,28,4,85,43
87,20,1,99,54
29,39,4,40,66
37,32,2,84,72
78,32,1,80,78
61,11,3,74,97
33,48,5,98,45
23,6,5,98,38
98,35,4,76,99
96,37,4,87,80
10,4,2,40,98
98,28,4,82,50
36,13,5,76,83
17,24,4,87,94
68,7,4,80,52
56,50,5,93,90
97,38,3,62,59
97,19,5,63,87
74,38,4,54,92
7,24,4,75,37
42,44,1,79,48
78,42,3,89,83
30,14,4,52,94
85,23,1,91,76
17,41,2,58,38
88,27,4,99,34
12,6,5,76,66
7,21,4,71,71
8,34,4,87,47
61,35,2,74,45
21,2,5,53,84
47,17,1,86,41
7,21,4,53,63
50,14,5,47,34
2,41,1,89,74
18,10,5,55,76
30,47,1,55,93
59,5,5,54,64
77,23,4,93,98
28,48,1,80,94
96,33,1,89,41
78,7,4,98,51
69,35,2,42,68
1,46,1,75,68
91,34,3,97,93
63,30,3,46,82
32,17,5,41,54
94,29,4,63,34
97,20,4,80,77
90,32,5,77,64
48,2,4,86,70
62,21,4,65,41
55,27,3,50,43
29,1,5,66,39
80,29,3,82,30
54,33,1,61,35
76,43,5,42,71
43,47,4,74,85
52,25,1,87,38
67,3,4,62,47
96,17,1,53,93
98,43,3,52,95
73,19,5,66,68
55,33,2,69,77
21,6,4,95,80
18,21,2,74,55
93,21,4,80,68
55,30,3,43,32
27,43,4,65,97
67,38,1,83,82
25,10,4,76,82
76,21,2,46,39
100,8,4,62,48
25,9,4,100,75
82,37,2,43,74
64,4,4,78,99
93,36,3,98,70
35,42,4,72,79
8,23,1,97,31
21,35,3,73,34
67,16,1,41,64
45,22,2,84,34
14,48,2,65,56
74,25,5,76,98
16,34,4,83,41
71,19,2,62,57
74,45,5,90,32
40,23,4,56,92
80,44,1,78,53
95,19,4,86,47
61,6,3,76,97
38,26,3,60,73
68,24,2,64,91
21,2,2,88,32
12,47,5,89,54
82,23,4,93,69
41,42,5,48,79
21,38,2,88,33
47,48,1,65,51
53,21,4,75,36
9,44,1,88,92
9,10,4,87,32
97,9,3,60,41
58,24,3,83,95
90,17,4,52,56
84,6,5,81,41
2,49,4,79,36
89,14,3,60,32
58,26,4,82,53
42,22,3,82,44
43,12,2,76,44
34,7,5,93,56
98,34,2,71,80
72,39,5,93,48
8,20,1,50,85
29,46,4,74,66
95,4,5,100,30
59,48,1,69,31
79,25,5,62,47
51,3,1,41,100
2,1,3,59,32
6,14,3,45,78
67,41,2,50,57
49,45,5,88,54
82,42,2,62,100
34,15,4,42,58
54,49,3,57,38
17,9,5,61,43
2,49,4,76,59
22,48,5,86,41
58,25,2,49,91
15,41,5,89,64
95,4,2,90,56
62,9,4,51,48
99,25,1,65,50
54,30,5,65,53
96,31,2,67,95
71,1,2,81,73
91,49,4,75,50
80,27,2,51,74
100,31,1,44,59
43,31,1,86,32
82,26,1,53,72
7,28,1,69,30
69,6,3,69,74
26,46,1,67,55
5,40,3,45,53
66,28,2,46,47
55,33,2,45,84
84,49,5,63,87
54,44,1,42,79
87,47,4,45,52
55,45,1,51,41
43,17,3,75,81
21,43,3,83,89
48,30,5,94,72
5,17,1,66,80
76,44,5,50,57
2,13,3,93,33
27,36,2,66,51
93,26,5,48,84
31,25,5,57,93
54,10,4,63,81
36,30,5,46,58
65,39,5,85,52
41,24,1,70,60
48,21,1,67,92
1,10,2,43,96
46,23,1,49,91
62,48,2,49,69
2,42,3,69,98
76,36,3,53,98
59,28,1,94,36
67,4,3,45,58
38,12,2,77,46
94,42,2,45,80
92,5,1,86,43
53,39,4,56,61
75,43,2,75,100
37,16,1,62,70
48,24,3,69,31
68,21,1,70,51
56,2,2,93,51
95,26,3,89,89
69,22,3,75,74
28,27,5,80,96
60,26,1,73,50
67,26,4,62,75
65,50,4,53,68
6,46,2,77,93
96,16,1,41,31
16,23,1,77,67
59,30,5,55,36
1,48,2,75,50
46,18,4,100,36
90,48,5,42,51
28,7,2,81,67
44,7,2,82,96
3,23,2,46,92
96,16,2,53,58
37,50,4,67,59
30,50,5,97,71
41,45,1,79,76
90,37,5,43,80
23,9,3,70,63
98,42,2,55,93
70,44,3,76,65
82,42,4,82,44
90,24,2,84,57
2,8,2,44,81
89,37,3,81,56
58,45,2,58,54
57,33,1,44,52
37,30,5,77,50
1,45,1,63,84
56,8,5,63,34
26,13,3,43,81
3,22,4,43,88
14,35,4,54,99
40,20,3,62,40
70,29,2,62,58
35,26,1,50,95
18,38,2,96,35
44,22,3,74,39
49,13,2,96,54
36,14,4,55,42
96,7,3,100,40
1,35,4,58,38
70,40,2,84,38
32,28,4,68,66
54,7,5,63,100
57,28,1,42,93
50,42,4,82,76
13,18,1,95,73
80,31,5,98,61
44,34,1,56,84
95,7,5,94,49
20,37,5,100,83
61,40,1,59,40
73,21,2,81,84
17,48,3,57,72
60,38,5,44,95
81,37,3,45,81
35,24,3,75,97
19,3,1,70,57
98,44,4,65,42
37,11,3,73,47
67,29,4,71,79
44,7,3,88,95
58,18,5,72,38
15,22,2,46,92
32,10,2,90,81
100,31,5,62,30
73,29,1,76,97
84,28,4,65,69
71,6,5,65,64
78,4,1,42,74
24,47,1,62,88
73,19,1,54,47
27,22,4,92,48
95,37,2,75,56
48,6,4,45,62
99,28,3,54,85
1,10,5,68,38
48,17,2,76,58
8,7,5,66,76
55,16,1,57,51
73,44,3,81,71
46,15,5,66,96
74,44,3,95,35
15,6,2,68,44
97,46,4,93,86
60,3,3,53,37
57,19,4,80,49
19,7,1,60,72
91,24,1,85,68
96,40,4,62,87
38,36,4,83,76
86,31,4,62,85
12,43,2,95,65
73,46,1,100,85
74,26,3,46,78
31,50,1,65,49
44,50,3,98,38
26,2,4,61,71
50,43,5,93,96
42,31,3,45,61
63,50,5,60,98
74,46,2,97,33
37,21,1,43,46
86,3,4,93,38
72,15,1,93,49
65,47,5,100,94
33,11,1,80,90
70,17,1,44,91
47,8,4,52,70
71,1,3,44,94
31,15,2,90,51
53,26,4,89,82
13,30,5,100,63
85,1,1,91,81
21,38,1,94,79
94,32,4,85,80
60,3,4,89,87
56,25,3,80,66
82,11,2,61,93
19,9,2,82,67
50,50,4,44,71
35,6,2,93,66
84,5,5,63,69
59,42,5,80,67
10,34,4,44,31
78,44,5,92,46
54,29,1,72,40
31,40,3,68,44
77,30,4,51,63
67,6,5,78,60
42,30,4,57,97
79,10,2,74,97
3,5,2,76,51
64,43,1,77,84
31,26,1,64,99
78,12,5,99,76
38,35,5,93,93
92,32,4,52,96
97,49,1,72,66
46,1,2,76,93
32,26,1,95,99
49,7,1,58,84
60,16,4,60,32
56,50,3,60,36
10,3,2,45,88
64,33,2,61,30
64,26,2,85,40
11,42,1,59,75
48,2,5,87,56
14,43,3,63,94
20,12,4,47,82
4,19,4,73,76
15,20,4,64,82
52,46,2,98,74
83,7,1,95,99
76,35,5,52,56
14,19,4,89,76
41,34,5,40,83
67,36,2,93,59
29,26,5,51,91
6,12,3,53,62
89,49,3,99,74
59,16,1,74,90
70,15,2,48,80
80,9,5,60,46
30,18,5,54,82
33,38,5,90,54
31,5,3,90,84
95,10,3,42,56
88,19,3,48,49
94,39,3,50,62
11,12,5,75,52
61,34,2,45,79
37,42,2,95,79
24,17,1,62,87
25,40,3,76,97
59,4,2,41,70
30,29,3,58,60
65,9,5,60,74
86,45,1,41,57
55,4,4,50,77
11,27,5,62,85
93,27,1,50,44
43,5,1,49,62
60,4,5,72,73
50,7,2,86,32
20,39,4,100,50
68,5,2,73,84
6,28,1,61,48
58,20,5,44,54
8,4,5,56,74
11,11,3,90,54
35,13,5,67,80
81,27,2,86,69
62,49,1,45,70
94,45,4,56,83
54,6,1,98,97
47,45,3,71,98
3,50,4,98,48
4,44,3,92,75
8,20,2,57,66
52,31,3,74,64
29,35,1,87,64
25,26,5,77,77
35,33,4,60,41
61,3,4,44,72
54,49,4,64,99
78,31,2,84,75
69,25,2,84,91
5,20,3,60,42
68,30,2,59,68
34,44,3,57,61
26,35,5,51,89
58,45,5,43,39
48,50,2,60,40
30,4,3,71,100
18,7,4,60,45
34,20,2,81,52
78,45,1,62,89
90,29,4,72,51
37,15,2,82,57
64,33,4,68,48
64,21,4,63,68
2,8,2,89,89
70,7,3,94,49
3,40,5,41,34
55,21,2,46,95
68,17,5,56,82
86,50,1,70,38
65,7,5,49,46
60,8,5,40,89
55,10,3,55,77
24,26,2,67,42
68,37,2,61,42
56,29,3,53,80
26,25,1,92,35
14,36,4,72,49
54,38,3,70,93
1,41,2,96,36
11,45,3,55,87
73,5,2,49,44
54,29,1,71,78
60,3,1,74,43
16,37,3,100,87
11,42,1,62,93
23,17,5,71,79
18,40,1,45,63
37,26,1,42,54
22,7,2,71,98
1,11,4,46,57
5,18,5,87,99
22,36,3,96,36
89,41,3,67,57
84,2,1,57,52
51,28,2,80,79
52,18,5,44,78
8,6,5,61,62
29,28,2,40,75
65,3,5,78,37
55,25,1,43,96
92,9,2,79,95
86,20,4,90,66
33,46,4,75,96
45,21,5,85,35
91,3,1,93,88
90,21,2,54,64
92,47,1,58,77
34,44,3,59,71
95,37,1,40,95
100,29,2,99,51
92,12,3,81,86
69,13,5,70,58
75,45,2,53,98
76,15,4,88,43
11,23,1,70,66
75,41,1,50,51
58,42,4,87,42
87,6,4,55,46
80,44,2,97,95
91,22,1,84,84
11,8,5,58,70
20,16,2,54,31
26,5,1,48,91
92,11,2,93,92
96,27,1,48,53
25,40,1,93,33
16,35,2,63,53
40,31,5,65,31
4,26,4,63,90
71,34,5,80,96
57,6,4,67,34
18,17,2,76,52
76,32,4,57,48
43,43,5,90,54
46,49,2,56,73
65,43,2,64,30
78,30,1,82,44
66,39,3,58,58
21,48,5,80,42
80,24,5,48,57
57,14,4,91,65
45,20,2,80,76
97,35,1,68,93
7,35,1,99,98
41,48,3,42,35
33,4,2,77,46
78,37,3,47,64
43,36,5,47,50
22,44,3,86,37
100,10,2,98,43
25,14,5,81,78
68,9,2,52,74
9,36,3,78,68
98,34,1,83,58
17,14,5,54,73
99,47,4,49,91
34,11,3,55,72
60,27,1,49,72
52,34,5,89,33
100,29,4,100,31
53,46,1,59,54
62,42,1,54,41
59,29,2,70,61
95,26,3,91,73
92,38,5,53,89
77,39,1,95,93
86,5,2,48,34
42,39,2,68,30
98,37,1,78,92
34,14,3,93,35
77,8,1,74,71
10,29,5,99,75
35,31,2,40,77
57,44,3,52,92
16,34,1,61,80
48,9,1,64,62
35,49,3,90,71
10,11,4,88,50
4,8,2,70,92
42,17,1,48,77
71,8,2,74,86
61,32,3,57,52
27,14,5,64,55
13,6,1,58,75
62,39,5,41,73
48,29,2,82,57
75,30,2,51,58
50,41,2,96,79
4,50,2,82,53
73,27,3,86,40
85,49,2,97,33
11,34,1,76,42
71,4,4,93,35
54,43,1,69,84
80,49,1,73,67
72,19,5,70,49
93,41,1,68,79
35,16,2,57,93
47,12,4,69,63
54,35,4,42,36
18,25,4,55,44
1,8,3,53,89
76,9,5,99,61
14,13,5,100,85
87,26,4,81,87
65,23,2,97,61
32,27,5,79,59
23,38,5,55,33
7,44,1,81,54
18,25,1,62,42
58,22,2,48,77
34,31,3,49,37
4,6,5,53,38
70,14,5,43,73
93,31,1,87,49
64,29,2,97,93
18,1,5,87,84
49,15,4,89,85
39,35,4,96,68
60,1,3,80,45
27,36,5,67,81
55,36,3,64,92
56,6,1,73,96
21,1,5,56,68
32,32,3,64,95
97,38,1,63,47
67,28,3,42,80
39,22,4,79,36
59,16,2,82,30
72,26,2,72,93
15,42,3,93,48
80,20,3,74,64
28,36,5,93,100
45,36,5,87,66
27,13,5,88,45
81,9,1,76,48
45,32,5,61,41
49,16,3,55,85
42,32,3,47,79
94,13,5,70,86
10,41,5,72,70
99,37,3,61,52
23,25,1,93,47
62,18,4,80,88
81,10,1,71,65
46,1,4,86,61
88,50,1,62,78
38,27,2,58,70
20,6,1,86,45
22,35,1,66,88
67,8,3,42,93
91,2,2,52,54
77,30,5,41,72
51,18,2,91,36
37,45,4,49,71
56,12,4,98,73
91,18,3,47,57
24,48,2,53,58
17,42,5,72,90
79,38,3,92,62
82,3,1,52,39
70,27,1,54,41
22,37,3,68,70
78,39,2,45,46
35,15,1,49,63
93,4,1,83,39
5,31,4,54,71
75,26,2,80,100
18,50,2,61,93
82,21,4,44,52
19,37,2,72,68
78,13,3,89,49
17,2,4,43,82
49,5,4,86,63
2,4,1,50,98
40,15,4,78,37
98,33,4,64,43
24,29,4,41,81
99,43,1,86,56
57,31,4,81,39
76,43,2,43,64
44,12,2,93,84
9,47,2,89,42
29,50,3,43,66
44,3,5,93,47
9,38,1,61,33
96,40,1,68,69
50,24,3,59,90
9,45,3,78,73
57,10,4,74,59
4,30,5,68,85
88,21,4,44,70
43,49,5,88,91
75,24,4,49,90
2,37,4,69,50
62,18,1,67,71
42,47,3,95,95
15,17,4,50,77
75,14,2,57,68
35,8,1,80,45
4,5,5,71,74
12,31,4,84,55
25,45,5,55,49
51,46,1,90,100
23,15,2,41,47
93,22,2,67,43
44,49,4,84,54
65,43,2,56,64
13,47,2,59,85
100,39,2,90,52
45,25,2,86,75
46,21,4,80,77
38,26,4,77,64
12,37,1,56,52
35,27,4,51,36
55,6,3,60,74
46,16,3,42,55
3,11,5,70,59
72,33,5,51,45
30,26,4,89,87
83,45,2,80,33
80,38,4,72,53
76,45,4,57,48
66,22,5,80,69
96,26,4,87,99
91,7,3,51,62
28,2,1,86,87
73,48,4,68,51
61,37,1,61,30
26,25,3,58,43
4,29,4,86,30
55,28,5,77,43
53,45,3,74,47
5,35,1,78,85
66,46,1,47,74
85,3,4,45,87
95,47,1,40,70
39,47,4,47,74
53,10,2,46,79
18,16,3,46,49
48,33,2,93,44
57,28,5,68,48
62,42,5,66,44
94,24,4,50,72
90,15,2,79,84
55,15,2,43,30
41,50,5,99,34
2,14,2,47,50
20,17,2,49,34
43,30,2,62,63
76,23,4,80,85
60,10,3,80,85
82,45,3,70,46
81,11,3,88,90
19,19,5,90,70
78,12,4,72,84
19,32,5,70,60
31,8,5,97,70
42,33,4,82,68
99,18,4,92,84
57,39,2,55,78
37,36,1,75,80
59,47,4,44,31
17,7,2,76,37
98,15,2,50,41
59,30,1,44,94
19,50,4,58,88
8,15,1,53,65
28,29,4,81,58
83,27,4,67,77
34,22,1,72,56
71,49,5,82,30
88,37,1,65,99
8,21,5,54,64
87,50,3,71,63
84,34,1,40,57
33,49,3,93,62
2,34,5,100,87
71,21,4,96,78
88,46,5,54,99
68,2,3,82,93
4,18,2,75,87
32,21,4,83,38
51,12,3,62,78
9,41,5,41,93
10,45,2,43,89
71,17,1,80,61
80,6,4,64,76
4,24,1,74,52
68,36,3,100,67
100,30,5,43,96
74,5,2,81,77
95,29,2,75,98
79,11,5,79,91
68,7,5,96,69
55,28,4,53,59
21,5,3,44,50
1,33,4,94,100
21,47,3,69,79
68,23,2,44,31
32,13,1,40,64
2,17,4,96,75
32,34,1,69,56
75,39,2,60,81
64,7,3,98,69
42,25,2,43,57
46,32,3,59,65
88,32,2,62,40
26,38,4,82,91
13,29,1,88,83
85,10,1,62,37
57,47,4,57,90
20,40,1,88,79
79,40,3,54,91
68,2,2,53,93
36,7,4,67,89
16,27,1,58,53
77,20,2,54,97
46,22,4,62,97
99,4,4,59,43
70,11,4,65,35
48,8,5,99,92
60,34,4,45,74
28,48,2,54,97
31,47,2,63,85
32,48,4,44,89
21,6,4,44,90
31,10,1,79,53
24,47,1,68,67
11,23,5,61,41
10,9,4,92,63
33,35,1,66,87
60,49,1,66,79
50,6,5,54,37
67,40,2,78,33
84,12,1,74,100
36,13,5,49,72
84,49,5,92,75
28,12,5,87,100
97,38,1,89,37
98,16,2,49,51
39,50,5,70,56
73,38,1,92,53
69,14,4,75,50
69,15,5,52,65
95,34,1,48,56
61,50,1,89,74
39,3,2,43,56
87,7,4,91,55
95,41,5,88,99
11,5,1,77,78
60,14,4,50,43
50,27,4,50,73
4,7,2,80,83
37,31,1,75,81
23,16,1,70,92
48,37,4,73,35
37,7,5,96,51
46,13,5,59,37
69,23,4,99,73
64,42,3,43,80
97,16,2,42,72
97,4,1,58,43
45,26,2,82,33
36,9,5,91,51
65,31,1,74,77
33,5,1,74,80
14,3,4,46,88
23,33,5,86,88
67,27,2,84,37
5,5,3,89,86
92,40,1,84,83
60,10,1,52,34
5,42,5,73,62
10,27,1,51,79
22,13,3,80,31
81,31,4,84,43
3,45,5,48,95
63,24,1,91,38
62,44,2,54,37
19,27,1,96,100
71,25,5,46,55
4,1,2,44,76
54,8,3,45,54
19,28,3,41,54
39,39,1,40,79
47,49,2,97,42
47,5,3,79,37
33,28,5,99,36
93,31,5,52,68
73,25,5,89,65
34,19,3,94,32
45,11,1,91,87
38,31,1,95,54
89,8,4,98,40
48,17,2,97,43
98,5,4,87,82
36,33,1,78,48
64,37,5,70,67
49,7,5,62,98
24,22,4,76,56
49,32,2,69,52
49,9,4,84,79
46,29,1,94,30
46,9,1,94,62
12,30,1,49,35
91,12,4,78,37
1,30,1,68,35
55,10,2,44,77
10,1,1,58,44
75,2,2,84,31
68,45,3,80,79
30,22,1,63,94
93,4,5,85,30
43,14,5,69,46
57,48,4,62,32
45,4,3,53,80
51,21,1,55,77
63,10,3,43,41
84,34,2,77,73
48,16,3,52,78
72,42,3,92,32
32,14,3,42,75
44,20,2,40,84
21,46,1,71,74
100,9,3,70,63
78,28,2,90,68
11,32,5,62,81
37,13,4,65,62
79,11,1,93,30
20,25,2,71,59
59,42,4,70,36
8,9,2,41,44
85,45,4,69,59
8,24,5,82,77
21,41,3,69,77
76,27,1,84,75
55,48,2,85,61
40,11,2,90,80
30,28,1,47,100
37,9,1,76,38
50,35,1,41,86
83,22,4,86,68
94,42,1,100,30
82,38,4,69,100
13,24,4,99,47
24,50,5,82,77
43,42,5,58,43
89,26,5,81,46
88,39,5,54,33
94,33,3,68,45
60,38,4,45,79
34,38,3,51,65
71,9,1,96,84
73,13,3,97,74
69,39,2,77,62
56,1,4,72,60
36,26,1,57,35
61,29,1,52,89
80,44,5,40,89
70,20,4,45,56
17,8,2,49,91
24,1,4,63,36
15,31,3,58,45
24,32,5,99,71
23,47,3,89,58
35,28,3,42,49
7,47,5,54,47
15,28,3,77,99
84,16,1,43,77
14,7,1,61,78
45,4,4,55,73
29,18,2,99,82
27,23,3,82,79
56,34,2,81,85
50,17,2,85,60
22,46,3,78,100
1,5,5,97,75
99,37,3,99,60
93,40,5,42,54
61,25,1,56,54
68,8,5,69,35
44,25,1,66,47
82,1,4,84,78
36,46,5,53,74
3,16,3,83,34
26,38,2,81,47
95,4,1,86,58
33,47,2,85,36
17,50,4,79,56
34,7,2,65,51
92,12,1,97,32
6,41,5,97,64
67,12,1,41,68
61,9,1,68,87
34,50,2,94,64
67,7,5,96,78
33,10,4,59,47
47,11,2,89,66
83,38,5,48,67
17,48,3,89,47
51,47,5,72,85
47,47,2,51,67
52,45,4,98,72
13,48,4,70,44
25,36,3,49,62
24,13,5,61,83
46,47,2,93,73
34,1,3,84,99
96,34,1,54,85
62,11,5,62,65
89,5,3,73,50
7,35,1,88,43
30,1,1,95,44
